last nonstop flight from los angeles to pittsburgh on monday night	last nonstop flight from los angeles to pittsburgh on monday night	[IN:FLIGHT [SL:FLIGHT_MOD last ] [SL:FLIGHT_STOP nonstop ] flight from [SL:FROM_LOCATION [SL:CITY_NAME los angeles ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:ARRIVE_DATE [SL:DAY_NAME monday ] ] [SL:ARRIVE_TIME [SL:PERIOD_OF_DAY night ] ] ]
list the flights from st. petersburg to toronto	list the flights from st. petersburg to toronto	[IN:FLIGHT list the flights from [SL:FROM_LOCATION [SL:CITY_NAME st. petersburg ] ] to [SL:TO_LOCATION [SL:CITY_NAME toronto ] ] ]
please list am flights leaving san francisco boston	please list am flights leaving san francisco boston	[IN:FLIGHT please list [SL:DEPART_TIME [SL:PERIOD_OF_DAY am ] ] flights leaving [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] ]
first flights and fares from pittsburgh to atlanta on a thursday	first flights and fares from pittsburgh to atlanta on a thursday	[IN:FLIGHT [IN:AIRFARE [SL:FLIGHT_MOD first ] flights and fares from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on a [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] ] ]
show me the flights from baltimore to oakland	show me the flights from baltimore to oakland	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
i would like a ticket leaving from denver colorado to atlanta georgia with a stop in pittsburgh	i would like a ticket leaving from denver colorado to atlanta georgia with a stop in pittsburgh	[IN:AIRFARE i would like a ticket leaving from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] [SL:FROM_LOCATION [SL:STATE_NAME colorado ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] [SL:TO_LOCATION [SL:STATE_NAME georgia ] ] with a stop in [SL:STOP_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal	i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal	[IN:FLIGHT i would like to know the [SL:FLIGHT_MOD latest ] flight on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] you have leaving from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] which offers a [SL:MEAL meal ] ]
show me flights from pittsburgh to philadelphia	show me flights from pittsburgh to philadelphia	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
list flights from pittsburgh to baltimore on thursday morning nonstop	list flights from pittsburgh to baltimore on thursday morning nonstop	[IN:FLIGHT list flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] [SL:FLIGHT_STOP nonstop ] ]
are there any flights from boston to san francisco stopping in denver	are there any flights from boston to san francisco stopping in denver	[IN:FLIGHT are there any flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] stopping in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
fine can you give me information on ground transportation in washington dc to downtown	fine can you give me information on ground transportation in washington dc to downtown	[IN:GROUND_SERVICE fine can you give me information on ground transportation in [SL:CITY_NAME washington ] [SL:STATE_CODE dc ] to downtown ]
how many first class flights does united have leaving from all cities today	how many first class flights does united have leaving from all cities today	[IN:QUANTITY how many [SL:CLASS_TYPE first class ] flights does [SL:AIRLINE_NAME united ] have leaving from all cities [SL:DEPART_DATE [SL:TODAY_RELATIVE today ] ] ]
show me all flights from indianapolis	show me all flights from indianapolis	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] ]
how much is a first class round trip from atlanta to san francisco	how much is a first class round trip from atlanta to san francisco	[IN:AIRFARE how much is a [SL:CLASS_TYPE first class ] [SL:ROUND_TRIP round trip ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what flight do you have from dallas to denver on august twenty seventh in the morning	what flight do you have from dallas to denver on august twenty seventh in the morning	[IN:FLIGHT what flight do you have from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
show me a list of flights from san francisco to boston for august thirtieth	show me a list of flights from san francisco to boston for august thirtieth	[IN:FLIGHT show me a list of flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] for [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirtieth ] ] ]
what airlines have business class service between boston and san francisco	what airlines have business class service between boston and san francisco	[IN:AIRLINE what airlines have [SL:CLASS_TYPE business class ] service between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
list all takeoffs and landings at general mitchell international	list all takeoffs and landings at general mitchell international	[IN:FLIGHT list all takeoffs and landings at [SL:AIRPORT_NAME general mitchell international ] ]
what city is the airport mco in	what city is the airport mco in	[IN:CITY what city is the airport [SL:FROM_LOCATION [SL:AIRPORT_CODE mco ] ] in ]
what are all flights from pittsburgh to boston on wednesdays	what are all flights from pittsburgh to boston on wednesdays	[IN:FLIGHT what are all flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesdays ] ] ]
does delta airline fly from denver to pittsburgh	does delta airline fly from denver to pittsburgh	[IN:FLIGHT does [SL:AIRLINE_NAME delta airline ] fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
show all flights with first class from baltimore to dallas	show all flights with first class from baltimore to dallas	[IN:FLIGHT show all flights with [SL:CLASS_TYPE first class ] from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there	my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there	[IN:FLIGHT my destination is [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] i live in [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] i would like a flight on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirtieth ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] on any airline that will get me there ]
i would like to travel from boston to denver early in the morning	i would like to travel from boston to denver early in the morning	[IN:FLIGHT i would like to travel from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] [SL:DEPART_TIME [SL:PERIOD_MOD early ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
what is the cheapest flight from denver to oakland	what is the cheapest flight from denver to oakland	[IN:FLIGHT what is the [SL:COST_RELATIVE cheapest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
how long does it take to get from denver to oakland	how long does it take to get from denver to oakland	[IN:DISTANCE how long does it take to get from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
what is the cheapest one way fare between boston and oakland	what is the cheapest one way fare between boston and oakland	[IN:AIRFARE what is the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP one way ] fare between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
what does mco stand for	what does mco stand for	[IN:ABBREVIATION what does [SL:AIRPORT_CODE mco ] stand for ]
please show me airlines with flights from boston to denver	please show me airlines with flights from boston to denver	[IN:AIRLINE please show me airlines with flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
all flights from san francisco to los angeles	all flights from san francisco to los angeles	[IN:FLIGHT all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME los angeles ] ] ]
what is the earliest flight leaving denver going to boston	what is the earliest flight leaving denver going to boston	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight leaving [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] going to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
find the flights that leave philadelphia and arrive in dallas by noon	find the flights that leave philadelphia and arrive in dallas by noon	[IN:FLIGHT find the flights that leave [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] and arrive in [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE by ] ] [SL:ARRIVE_TIME [SL:TIME noon ] ] ]
i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco	i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco	[IN:FLIGHT i need a flight from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME new york ] ] and then [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
is there an airline that has a flight from philadelphia to san francisco with a stop in dallas	is there an airline that has a flight from philadelphia to san francisco with a stop in dallas	[IN:AIRLINE is there an airline that has a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] with a stop in [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
list all flights on united from san francisco to boston	list all flights on united from san francisco to boston	[IN:FLIGHT list all flights on [SL:AIRLINE_NAME united ] from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
"what""s the cheapest one way flight from oakland to boston"	"what""s the cheapest one way flight from oakland to boston"	[IN:FLIGHT what's the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP one way ] flight from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
please list the rental car information in pittsburgh	please list the rental car information in pittsburgh	[IN:GROUND_SERVICE please list the [SL:TRANSPORT_TYPE rental car ] information in [SL:CITY_NAME pittsburgh ] ]
i would like to fly from denver to pittsburgh on the cheapest flight possible	i would like to fly from denver to pittsburgh on the cheapest flight possible	[IN:FLIGHT i would like to fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on the [SL:COST_RELATIVE cheapest ] flight possible ]
are there any nonstop flights from indianapolis to san diego on wednesday may twelfth	are there any nonstop flights from indianapolis to san diego on wednesday may twelfth	[IN:FLIGHT are there any [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME san diego ] ] on [SL:ARRIVE_DATE [SL:DAY_NAME wednesday ] ] [SL:ARRIVE_DATE [SL:MONTH_NAME may ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER twelfth ] ] ]
show me the airlines between boston and denver	show me the airlines between boston and denver	[IN:AIRLINE show me the airlines between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
i would like a twa flight from atlanta to san francisco with a stopover in denver	i would like a twa flight from atlanta to san francisco with a stopover in denver	[IN:FLIGHT i would like a [SL:AIRLINE_CODE twa ] flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] with a stopover in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
what are the lowest one way fares from atlanta to pittsburgh	what are the lowest one way fares from atlanta to pittsburgh	[IN:AIRFARE what are the [SL:COST_RELATIVE lowest ] [SL:ROUND_TRIP one way ] fares from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
from las vegas to new york a nonstop twa and fare	from las vegas to new york a nonstop twa and fare	[IN:FLIGHT from [SL:FROM_LOCATION [SL:CITY_NAME las vegas ] ] to [SL:TO_LOCATION [SL:CITY_NAME new york ] ] a [SL:FLIGHT_STOP nonstop ] [SL:AIRLINE_CODE twa ] and fare ]
i need a flight from philadelphia to denver	i need a flight from philadelphia to denver	[IN:FLIGHT i need a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
flights from kansas city to cleveland and price	flights from kansas city to cleveland and price	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME kansas city ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] and price ]
what is the earliest flight on friday from washington to san francisco	what is the earliest flight on friday from washington to san francisco	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please list the flights from ontario california to orlando florida	please list the flights from ontario california to orlando florida	[IN:FLIGHT please list the flights from [SL:FROM_LOCATION [SL:CITY_NAME ontario ] ] [SL:FROM_LOCATION [SL:STATE_NAME california ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] [SL:TO_LOCATION [SL:STATE_NAME florida ] ] ]
list daily flights from boston to oakland using united airlines	list daily flights from boston to oakland using united airlines	[IN:FLIGHT list [SL:FLIGHT_DAYS daily ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] using [SL:AIRLINE_NAME united airlines ] ]
show me all flights from baltimore or denver or pittsburgh that fly to philadelphia	show me all flights from baltimore or denver or pittsburgh that fly to philadelphia	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] [SL:OR or ] [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] [SL:OR or ] [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] that fly to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
i would like to fly from pittsburgh to atlanta	i would like to fly from pittsburgh to atlanta	[IN:FLIGHT i would like to fly from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
list all flights on united from san francisco to boston with fare code qx	list all flights on united from san francisco to boston with fare code qx	[IN:FLIGHT list all flights on [SL:AIRLINE_NAME united ] from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] with fare code [SL:FARE_BASIS_CODE qx ] ]
show me flights from san francisco to denver on weekdays	show me flights from san francisco to denver on weekdays	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:FLIGHT_MOD weekdays ] ]
does continental fly from denver to pittsburgh	does continental fly from denver to pittsburgh	[IN:FLIGHT does [SL:AIRLINE_NAME continental ] fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday	list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday	[IN:FLIGHT list all [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME los angeles ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE before ] ] [SL:ARRIVE_TIME [SL:TIME 5 pm ] ] on [SL:ARRIVE_DATE [SL:DAY_NAME tuesday ] ] ]
show me all flights from san francisco to pittsburgh on friday	show me all flights from san francisco to pittsburgh on friday	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
what flights leave denver before noon on northwest airlines	what flights leave denver before noon on northwest airlines	[IN:FLIGHT what flights leave [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME noon ] ] on [SL:AIRLINE_NAME northwest airlines ] ]
how many flights does delta have with a class of service code f	how many flights does delta have with a class of service code f	[IN:QUANTITY how many flights does [SL:AIRLINE_NAME delta ] have with a class of service code [SL:FARE_BASIS_CODE f ] ]
show me all flights from san francisco to boston on november tenth	show me all flights from san francisco to boston on november tenth	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:MONTH_NAME november ] ] [SL:DEPART_DATE [SL:DAY_NUMBER tenth ] ] ]
show me all flights from san diego to new york using dc10	show me all flights from san diego to new york using dc10	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san diego ] ] to [SL:TO_LOCATION [SL:CITY_NAME new york ] ] using [SL:AIRCRAFT_CODE dc10 ] ]
show me the flights on twa from atlanta in the morning	show me the flights on twa from atlanta in the morning	[IN:FLIGHT show me the flights on [SL:AIRLINE_CODE twa ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
show me all flights from charlotte to philadelphia	show me all flights from charlotte to philadelphia	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME charlotte ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
do you have a flight from charlotte to atlanta on june first	do you have a flight from charlotte to atlanta on june first	[IN:FLIGHT do you have a flight from [SL:FROM_LOCATION [SL:CITY_NAME charlotte ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER first ] ] ]
newark to cleveland	newark to cleveland	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] ]
show me the flights from san francisco to boston	show me the flights from san francisco to boston	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver	please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver	[IN:AIRFARE please show me the cost of flight [SL:AIRLINE_CODE ua ] [SL:FLIGHT_NUMBER 201 ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] and flight [SL:AIRLINE_CODE ua ] [SL:FLIGHT_NUMBER 343 ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh	what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh	[IN:FLIGHT what flight do you have from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] of [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] ]
what are the flights from boston to denver on tuesday october fifteenth	what are the flights from boston to denver on tuesday october fifteenth	[IN:FLIGHT what are the flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] [SL:DEPART_DATE [SL:MONTH_NAME october ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fifteenth ] ] ]
"i""d like flight information from dallas fort worth to boston on tuesday"	"i""d like flight information from dallas fort worth to boston on tuesday"	[IN:FLIGHT i'd like flight information from [SL:FROM_LOCATION [SL:CITY_NAME dallas fort worth ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] ]
flights from newark to tampa on friday on us air	flights from newark to tampa on friday on us air	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME tampa ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] on [SL:AIRLINE_NAME us air ] ]
show me the flights from dallas to atlanta	show me the flights from dallas to atlanta	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
"i""m looking for ground transportation in dallas"	"i""m looking for ground transportation in dallas"	[IN:GROUND_SERVICE i'm looking for ground transportation in [SL:CITY_NAME dallas ] ]
what airline is ea the abbreviation for	what airline is ea the abbreviation for	[IN:AIRLINE what airline is [SL:AIRLINE_CODE ea ] the abbreviation for ]
is there a flight from atlanta to san francisco on november seventh at noon	is there a flight from atlanta to san francisco on november seventh at noon	[IN:FLIGHT is there a flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:DEPART_DATE [SL:MONTH_NAME november ] ] [SL:DEPART_DATE [SL:DAY_NUMBER seventh ] ] at [SL:DEPART_TIME [SL:TIME noon ] ] ]
what does ff mean	what does ff mean	[IN:ABBREVIATION what does [SL:AIRLINE_CODE ff ] mean ]
please show me united nonstop flights between boston and san francisco departing around 5 in the evening	please show me united nonstop flights between boston and san francisco departing around 5 in the evening	[IN:FLIGHT please show me [SL:AIRLINE_NAME united ] [SL:FLIGHT_STOP nonstop ] flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] departing [SL:ARRIVE_TIME [SL:TIME_RELATIVE around ] ] [SL:ARRIVE_TIME [SL:TIME 5 ] ] in the [SL:ARRIVE_TIME [SL:PERIOD_OF_DAY evening ] ] ]
what airlines have flights from boston to philadelphia that leave before 630 am	what airlines have flights from boston to philadelphia that leave before 630 am	[IN:AIRLINE what airlines have flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] that leave [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 630 am ] ] ]
i need information on flights leaving philadelphia on friday arriving in oakland california	i need information on flights leaving philadelphia on friday arriving in oakland california	[IN:FLIGHT i need information on flights leaving [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] arriving in [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] [SL:TO_LOCATION [SL:STATE_NAME california ] ] ]
what flights from montreal to las vegas on saturday	what flights from montreal to las vegas on saturday	[IN:FLIGHT what flights from [SL:FROM_LOCATION [SL:CITY_NAME montreal ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] ]
please show me flights available from pittsburgh to atlanta on a weekday	please show me flights available from pittsburgh to atlanta on a weekday	[IN:FLIGHT please show me flights available from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on a [SL:FLIGHT_MOD weekday ] ]
show me the earliest flight on wednesday from baltimore to newark	show me the earliest flight on wednesday from baltimore to newark	[IN:FLIGHT show me the [SL:FLIGHT_MOD earliest ] flight on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME newark ] ] ]
what is the cheapest coach flight between dallas and baltimore leaving august tenth	what is the cheapest coach flight between dallas and baltimore leaving august tenth	[IN:FLIGHT what is the [SL:COST_RELATIVE cheapest ] [SL:CLASS_TYPE coach ] flight between [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] leaving [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER tenth ] ] ]
how much does a first class round trip ticket from cleveland to miami on us air cost	how much does a first class round trip ticket from cleveland to miami on us air cost	[IN:AIRFARE how much does a [SL:CLASS_TYPE first class ] [SL:ROUND_TRIP round trip ] ticket from [SL:FROM_LOCATION [SL:CITY_NAME cleveland ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] on [SL:AIRLINE_NAME us air ] cost ]
find me the cheapest one way fare i can get from boston to denver	find me the cheapest one way fare i can get from boston to denver	[IN:AIRFARE find me the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP one way ] fare i can get from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
i need a flight from new york to montreal thursday may six arriving before noon	i need a flight from new york to montreal thursday may six arriving before noon	[IN:FLIGHT i need a flight from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME montreal ] ] [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_DATE [SL:MONTH_NAME may ] ] [SL:DEPART_DATE [SL:DAY_NUMBER six ] ] arriving [SL:ARRIVE_TIME [SL:TIME_RELATIVE before ] ] [SL:ARRIVE_TIME [SL:TIME noon ] ] ]
how about flights leaving san francisco and arriving in boston for any day	how about flights leaving san francisco and arriving in boston for any day	[IN:FLIGHT how about flights leaving [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] and arriving in [SL:TO_LOCATION [SL:CITY_NAME boston ] ] for any day ]
cheapest flight from miami to indianapolis	cheapest flight from miami to indianapolis	[IN:FLIGHT [SL:COST_RELATIVE cheapest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:CITY_NAME indianapolis ] ] ]
